state,Forecasted_CVD_DALY,Year,paf_daly_proj2030,paf_daly_proj2030_avg975temp
Andhra Pradesh,3645975,2030,3646,29168
Arunachal Pradesh,43216,2030,43,346
Assam,1543623,2030,1544,12349
Bihar,4711621,2030,4712,37693
Chhattisgarh,2082179,2030,2082,16657
Delhi,749361,2030,749,5995
Goa,107067,2030,107,857
Gujarat,5728153,2030,5728,45825
Haryana,1240033,2030,1240,9920
Himachal Pradesh,441581,2030,442,3533
Jammu and Kashmir,766053,2030,766,6128
Jharkhand,1105849,2030,1106,8847
Karnataka,4166651,2030,4167,33333
Kerala,3022708,2030,3023,24182
Madhya Pradesh,5510283,2030,5510,44082
Maharashtra,8917365,2030,8917,71339
Manipur,189981,2030,190,1520
Meghalaya,102896,2030,103,823
Mizoram,22035,2030,22,176
Nagaland,58559,2030,59,468
Odisha,2888760,2030,2889,23110
Punjab,2824933,2030,2825,22599
Rajasthan,3625407,2030,3625,29003
Sikkim,23271,2030,23,186
Tamil Nadu,6760339,2030,6760,54083
Telangana,2351132,2030,2351,18809
Tripura,231178,2030,231,1849
Union Territories other than Delhi,224126,2030,224,1793
Uttar Pradesh,12644813,2030,12645,101159
Uttarakhand,731763,2030,732,5854
West Bengal,8180219,2030,8180,65442
