"State","cpd_2021","Year","avg_25","avg_975","variation_25","variation_975","CVD_DALY","paf_daly_avgtemp25","paf_daly_avgtemp975","paf_daly_var25","paf_daly_var975","totalcost_avgtemphigh"
"Assam",87274.74,2021,13.0473070116574,26.2739903283456,4.12201366862501,14.1301169467587,1543622.66449278,10710,12501,-8848,-28720,1091021524.74
"Bihar",42712.23,2021,13.3833245806486,30.6486453917954,4.10372082623569,15.9217387906695,4786894.91436365,33212,38766,-27438,-89063,1655782308.18
"Chhattisgarh",83715.56,2021,19.0567883684519,31.3010266946054,3.91081708899893,15.4053402722472,1997059.19291465,13856,16173,-11447,-37157,1353931751.88
"Jharkhand",67978.28,2021,15.1391343422819,31.2477532968081,3.5068465543995,15.8441529270851,1105849.43955219,7673,8956,-6339,-20575,608813475.68
"Madhya Pradesh",60983.39,2021,15.0646436304236,32.3083305150087,3.78101867300182,16.8024460095148,4531206.08688532,31438,36695,-25973,-84306,2237785496.05
"Odisha",81418.89,2021,20.5799447602924,31.0357375979099,3.11102252437463,11.6132226792584,2500865.19488792,17352,20253,-14335,-46530,1648976779.17
"Tripura",100565.3,2021,17.1230189150705,30.4992485843386,3.3304807068132,15.1877028836743,231177.910910041,1604,1872,-1325,-4301,188258241.6
"Uttar Pradesh",22716.16,2021,8.66716636651797,27.806055133086,5.00970589019061,15.9521901732673,10124746.1796159,70248,81993,-58034,-188378,1862566106.88
"West Bengal",80828.68,2021,15.8579959904748,30.3782419800831,3.97300256764835,13.8338893518266,6879870.65041183,47734,55715,-39435,-128005,4503369906.2
"Andhra Pradesh",70149.7,2021,23.6938713075875,30.5919081863036,3.26645443154137,8.81265413587365,3173432.13528565,22018,25699,-18190,-59044,1802777140.3
"Gujarat",72005.28,2021,19.1720424426629,31.5357855526341,2.93256232024686,12.3088520312949,4542629.03103438,31518,36788,-26038,-84519,2648930240.64
"Karnataka",86130.2,2021,23.0395558268117,29.8170533949993,4.15933725298094,12.5391034003289,4387170.42352701,30439,35529,-25147,-81626,3060119875.8
"Meghalaya",287821.9,2021,14.8230855065581,28.5376464910498,3.44565181247688,13.9435590637616,85238.332030795,591,690,-489,-1586,198597111
"Rajasthan",68032.98,2021,14.0110519782839,34.3389622995097,5.57616199793334,17.0664347759892,2941608.35530681,20409,23822,-16861,-54731,1620681649.56
"Telangana",57271.43,2021,23.2235348188083,31.1508181927001,3.80317916676484,10.8878659833519,2601196.78298701,18048,21065,-14910,-48397,1206422672.95
"Arunachal Pradesh",592471,2021,2.16502222282287,19.0254168954528,3.65450014604287,14.4030313423155,37202.3799352876,258,301,-213,-692,178333771
"Manipur",161615.5,2021,14.0994969390198,26.5239799807629,4.60480207002275,15.6934373019312,151177.952384977,1049,1224,-867,-2813,197817372
"Nagaland",207397.5,2021,13.9393275642353,26.9206219962411,4.00636487190721,13.802164359654,58559.1093294159,406,474,-336,-1090,98306415
"Tamil Nadu",75825.13,2021,24.2075760848289,29.3662844025526,3.45702273473811,8.98235780352444,6081222.52183551,42193,49248,-34857,-113145,3734236002.24
"Uttarakhand",95350.43,2021,-0.419471865543953,21.0653093274382,4.8451437680111,15.7751077293926,740031.648177574,5134,5993,-4242,-13769,571435126.99
"Haryana",99403.71,2021,11.1748183175541,34.6996549151728,4.62057176550881,16.682326285259,1429296.66790313,9917,11575,-8193,-26593,1150597943.25
"Maharashtra",75191.83,2021,21.7850459185885,31.5967663739463,3.85806575481404,14.2637429349493,7348021.5021845,50982,59507,-42118,-136715,4474440227.81
"Himachal Pradesh",134601.8,2021,-5.76340397829309,18.9644734952331,5.27619794735935,16.3864421380846,376691.282435387,2614,3051,-2159,-7009,410670091.8
"Jammu & Kashmir",210529.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mizoram",294852.9,2021,15.5657249683176,28.3627215381206,3.96616870269558,17.2132397401704,19168.317823683,133,155,-110,-357,45702199.5
"Punjab",60492.23,2021,9.30290734269055,33.0008966273277,4.68477459076898,16.4257053674307,2466468.69755063,17113,19974,-14138,-45890,1208271802.02
"Sikkim",461771,2021,-3.92585756954864,13.356836545844,2.9566965596045,11.6645985838022,21007.1791339487,146,170,-120,-391,78501070
"Delhi",233228.7,2021,11.4451608354298,35.4411551364252,4.04145500549763,17.2983262270721,772071.994373424,5357,6252,-4425,-14365,1458145832.4
"Goa",440620.7,2021,24.6423874894843,28.8984673942833,1.55603891184971,8.72707566872543,93579.688315443,649,758,-536,-1741,333990490.6
"Kerala",155406.1,2021,24.7534322065469,28.1281251346691,2.75358780885183,6.90889990107305,2637130.56847363,18297,21356,-15116,-49066,3318852671.6
