State,Forecasted_CVD_DALY,Year,paf_daly_proj2030,paf_daly_proj2030_avg975hi,CpD_2030,totaleconBurden_2030
Andhra Pradesh,3645975,2030,3646,51044,91529.45,4672029245.8
Arunachal Pradesh,43216,2030,43,605,773040.27,467689363.35
Assam,1543623,2030,1544,21611,113873.74,2460925395.1400003
Bihar,4711621,2030,4712,65963,55729.77,3676102818.5099998
Chhattisgarh,2082179,2030,2082,29151,109229.82,3184158482.82
Delhi,749361,2030,749,10491,304310.55,3192521980.0499997
Goa,107067,2030,107,1499,574910.07,861790194.93
Gujarat,5728153,2030,5728,80194,93950.56,7534271208.639999
Haryana,1240033,2030,1240,17360,129699.3,2251579848
Himachal Pradesh,441581,2030,442,6182,175624.82,1085712637.24
Jammu and Kashmir,766053,2030,766,10725,NA,NA
Jharkhand,1105849,2030,1106,15482,88696.24,1373195187.68
Karnataka,4166651,2030,4167,58333,112380.38,6555484706.54
Kerala,3022708,2030,3023,42318,202769.71,8580808587.78
Madhya Pradesh,5510283,2030,5510,77144,79569.49,6138308736.56
Maharashtra,8917365,2030,8917,124843,98108.28,12248132000.039999
Manipur,189981,2030,190,2660,210871.57,560918376.2
Meghalaya,102896,2030,103,1441,375542.3,541156454.3
Mizoram,22035,2030,22,308,384716.16,118492577.27999999
Nagaland,58559,2030,59,820,270606.7,221897494
Odisha,2888760,2030,2889,40443,106233.18,4296388498.74
Punjab,2824933,2030,2825,39549,78928.64,3121548783.36
Rajasthan,3625407,2030,3625,50756,88767.61,4505488813.16
Sikkim,23271,2030,23,326,602506.42,196417092.92000002
Tamil Nadu,6760339,2030,6760,94645,98934.6,9363665217
Telangana,2351132,2030,2351,32916,74726.23,2459688586.68
Tripura,231178,2030,231,3236,131214.91,424611448.76
Union Territories other than Delhi,224126,2030,224,3138,NA,NA
Uttar Pradesh,12644813,2030,12645,177027,29639.44,5246981144.88
Uttarakhand,731763,2030,732,10245,124410.68,1274587416.6
West Bengal,8180219,2030,8180,114523,105463.09,12077949456.07
