State,Forecasted_CVD_DALY,Year,paf_daly_proj2030,CpD_2030,totaleconBurden_2030
Andhra Pradesh,3645975,2030,3646,91529.45,333716374.7
Arunachal Pradesh,43216,2030,43,773040.27,33240731.61
Assam,1543623,2030,1544,113873.74,175821054.56
Bihar,4711621,2030,4712,55729.77,262598676.23999998
Chhattisgarh,2082179,2030,2082,109229.82,227416485.24
Delhi,749361,2030,749,304310.55,227928601.95
Goa,107067,2030,107,574910.07,61515377.489999995
Gujarat,5728153,2030,5728,93950.56,538148807.68
Haryana,1240033,2030,1240,129699.3,160827132
Himachal Pradesh,441581,2030,442,175624.82,77626170.44
Jammu and Kashmir,766053,2030,766,NA,NA
Jharkhand,1105849,2030,1106,88696.24,98098041.44000001
Karnataka,4166651,2030,4167,112380.38,468289043.46000004
Kerala,3022708,2030,3023,202769.71,612972833.3299999
Madhya Pradesh,5510283,2030,5510,79569.49,438427889.90000004
Maharashtra,8917365,2030,8917,98108.28,874831532.76
Manipur,189981,2030,190,210871.57,40065598.300000004
Meghalaya,102896,2030,103,375542.3,38680856.9
Mizoram,22035,2030,22,384716.16,8463755.52
Nagaland,58559,2030,59,270606.7,15965795.3
Odisha,2888760,2030,2889,106233.18,306907657.02
Punjab,2824933,2030,2825,78928.64,222973408
Rajasthan,3625407,2030,3625,88767.61,321782586.25
Sikkim,23271,2030,23,602506.42,13857647.66
Tamil Nadu,6760339,2030,6760,98934.6,668797896
Telangana,2351132,2030,2351,74726.23,175681366.73
Tripura,231178,2030,231,131214.91,30310644.21
Union Territories other than Delhi,224126,2030,224,NA,NA
Uttar Pradesh,12644813,2030,12645,29639.44,374790718.8
Uttarakhand,731763,2030,732,124410.68,91068617.75999999
West Bengal,8180219,2030,8180,105463.09,862688076.1999999
