State,Forecasted_CVD_DALY,Year,paf_daly_proj2030,paf_daly_proj2030_avg975temp,CpD_2030,totaleconBurden_2030
Andhra Pradesh,3645975,2030,3646,29168,91529.45,2669730997.6
Arunachal Pradesh,43216,2030,43,346,773040.27,267471933.42000002
Assam,1543623,2030,1544,12349,113873.74,1406226815.26
Bihar,4711621,2030,4712,37693,55729.77,2100622220.61
Chhattisgarh,2082179,2030,2082,16657,109229.82,1819441111.74
Delhi,749361,2030,749,5995,304310.55,1824341747.25
Goa,107067,2030,107,857,574910.07,492697929.98999995
Gujarat,5728153,2030,5728,45825,93950.56,4305284412
Haryana,1240033,2030,1240,9920,129699.3,1286617056
Himachal Pradesh,441581,2030,442,3533,175624.82,620482489.0600001
Jammu and Kashmir,766053,2030,766,6128,NA,NA
Jharkhand,1105849,2030,1106,8847,88696.24,784695635.2800001
Karnataka,4166651,2030,4167,33333,112380.38,3745975206.54
Kerala,3022708,2030,3023,24182,202769.71,4903377127.22
Madhya Pradesh,5510283,2030,5510,44082,79569.49,3507582258.1800003
Maharashtra,8917365,2030,8917,71339,98108.28,6998946586.92
Manipur,189981,2030,190,1520,210871.57,320524786.40000004
Meghalaya,102896,2030,103,823,375542.3,309071312.9
Mizoram,22035,2030,22,176,384716.16,67710044.16
Nagaland,58559,2030,59,468,270606.7,126643935.60000001
Odisha,2888760,2030,2889,23110,106233.18,2455048789.7999997
Punjab,2824933,2030,2825,22599,78928.64,1783708335.36
Rajasthan,3625407,2030,3625,29003,88767.61,2574526992.83
Sikkim,23271,2030,23,186,602506.42,112066194.12
Tamil Nadu,6760339,2030,6760,54083,98934.6,5350679971.8
Telangana,2351132,2030,2351,18809,74726.23,1405525660.07
Tripura,231178,2030,231,1849,131214.91,242616368.59
Union Territories other than Delhi,224126,2030,224,1793,NA,NA
Uttar Pradesh,12644813,2030,12645,101159,29639.44,2998296110.96
Uttarakhand,731763,2030,732,5854,124410.68,728300120.7199999
West Bengal,8180219,2030,8180,65442,105463.09,6901715535.78
